S/N,Time,Temp°F,HumiRH
1,2018/01/08 10:00:11,68.9,45.7
2,2018/01/08 10:30:11,69.6,45.1
3,2018/01/08 11:00:11,70.3,44.7
4,2018/01/08 11:30:11,71.4,45.1
5,2018/01/08 12:00:11,71.8,44.2
6,2018/01/08 12:30:11,71.8,46.7
7,2018/01/08 13:00:11,72,48
8,2018/01/08 13:30:11,73.2,48.6
9,2018/01/08 14:00:11,73.9,49
10,2018/01/08 14:30:11,74.5,48.6
11,2018/01/08 15:00:11,75,49.1
12,2018/01/08 15:30:11,76.3,49.5
13,2018/01/08 16:00:11,76.5,49.6
14,2018/01/08 16:30:11,76.6,50
15,2018/01/08 17:00:11,75.9,49.6
16,2018/01/08 17:30:11,75.4,49.1
17,2018/01/08 18:00:11,75,49.1
18,2018/01/08 18:30:11,74.7,49.5
19,2018/01/08 19:00:11,74.5,49.5
20,2018/01/08 19:30:11,74.3,49.5
21,2018/01/08 20:00:11,74.1,49.5
22,2018/01/08 20:30:11,73.9,49.5
23,2018/01/08 21:00:11,73.9,49.5
24,2018/01/08 21:30:11,73.8,49.5
25,2018/01/08 22:00:11,73.8,49.6
26,2018/01/08 22:30:11,73.6,49.6
27,2018/01/08 23:00:11,73.6,49.6
28,2018/01/08 23:30:11,73.4,49.6
29,2018/01/09 00:00:11,73.4,49.6
30,2018/01/09 00:30:11,73.4,49.6
31,2018/01/09 01:00:11,73.2,50
32,2018/01/09 01:30:11,73.2,50
33,2018/01/09 02:00:11,73.2,50
34,2018/01/09 02:30:11,73,50
35,2018/01/09 03:00:11,73,50
36,2018/01/09 03:30:11,72.9,50
37,2018/01/09 04:00:11,72.9,50
38,2018/01/09 04:30:11,72.9,50
39,2018/01/09 05:00:11,72.9,50.1
40,2018/01/09 05:30:11,72.7,50.1
41,2018/01/09 06:00:11,72.5,50.1
42,2018/01/09 06:30:11,72.5,50.1
43,2018/01/09 07:00:11,72.3,50.1
44,2018/01/09 07:30:11,72.3,50.5
45,2018/01/09 08:00:11,73,50.9
46,2018/01/09 08:30:11,74.1,52.5
47,2018/01/09 09:00:11,75.2,53.9
48,2018/01/09 09:30:11,76.1,53.5
49,2018/01/09 10:00:11,75.9,54
50,2018/01/09 10:30:11,77.2,53.9
51,2018/01/09 11:00:11,77.9,52.9
52,2018/01/09 11:30:11,78.6,52.9
53,2018/01/09 12:00:11,78.8,52.4
54,2018/01/09 12:30:11,79.3,52.4
55,2018/01/09 13:00:11,80.1,52.5
56,2018/01/09 13:30:11,81,52.9
57,2018/01/09 14:00:11,80.8,51.9
58,2018/01/09 14:30:11,78.1,52
59,2018/01/09 15:00:11,77.2,53.5
60,2018/01/09 15:30:11,75.9,52.4
61,2018/01/09 16:00:11,72.7,51.4
62,2018/01/09 16:30:11,71.4,52
63,2018/01/09 17:00:11,74.5,51.1
64,2018/01/09 17:30:11,74.5,50
65,2018/01/09 18:00:11,74.8,49.5
66,2018/01/09 18:30:11,75.2,49.5
67,2018/01/09 19:00:11,75.2,49.5
68,2018/01/09 19:30:11,75.4,49.5
69,2018/01/09 20:00:11,75.6,49.5
70,2018/01/09 20:30:11,75.7,49.1
71,2018/01/09 21:00:11,75.7,49.1
72,2018/01/09 21:30:11,75.7,49.1
73,2018/01/09 22:00:11,75.7,49.1
74,2018/01/09 22:30:11,75.9,49.1
75,2018/01/09 23:00:11,75.9,49.1
76,2018/01/09 23:30:11,75.9,49.1
77,2018/01/10 00:00:11,75.9,49.1
78,2018/01/10 00:30:11,76.1,49.5
79,2018/01/10 01:00:11,76.1,49.5
80,2018/01/10 01:30:11,76.1,49.5
81,2018/01/10 02:00:11,76.1,49.5
82,2018/01/10 02:30:11,76.1,49.6
83,2018/01/10 03:00:11,76.1,49.6
84,2018/01/10 03:30:11,76.1,49.6
85,2018/01/10 04:00:11,76.3,50
86,2018/01/10 04:30:11,76.1,50
87,2018/01/10 05:00:11,76.3,50
88,2018/01/10 05:30:11,76.3,50.1
89,2018/01/10 06:00:11,76.3,50.1
90,2018/01/10 06:30:11,76.6,50.1
91,2018/01/10 07:00:11,76.6,50.5
92,2018/01/10 07:30:11,76.6,50.5
93,2018/01/10 08:00:11,77.4,51.4
94,2018/01/10 08:30:11,78.1,53.5
95,2018/01/10 09:00:11,79,54.4
96,2018/01/10 09:30:11,79.9,54.5
97,2018/01/10 10:00:11,80.1,54.5
98,2018/01/10 10:30:11,81.5,54
99,2018/01/10 11:00:11,78.4,54.4
100,2018/01/10 11:30:11,75.6,54.9
101,2018/01/10 12:00:11,74.3,55
102,2018/01/10 12:30:11,75.6,56.4
103,2018/01/10 13:00:11,72.9,55
104,2018/01/10 13:30:11,71.6,54
105,2018/01/10 14:00:11,71.2,54.9
106,2018/01/10 14:30:11,70.5,55
107,2018/01/10 15:00:11,70.2,55.5
108,2018/01/10 15:30:11,69.8,55.3
109,2018/01/10 16:00:11,69.3,55.8
110,2018/01/10 16:30:11,69.3,56
111,2018/01/10 17:00:11,67.6,55.8
112,2018/01/10 17:30:11,66,56.9
113,2018/01/10 18:00:11,65.3,57.9
114,2018/01/10 18:30:11,64.4,58.8
115,2018/01/10 19:00:11,63.1,59.2
116,2018/01/10 19:30:11,62.2,59.2
117,2018/01/10 20:00:11,61.2,59.4
118,2018/01/10 20:30:11,60.6,59.9
119,2018/01/10 21:00:11,59.7,60.2
120,2018/01/10 21:30:11,59.5,60.2
121,2018/01/10 22:00:11,59,60.7
122,2018/01/10 22:30:11,63,56.8
123,2018/01/10 23:00:11,64,55.3
124,2018/01/10 23:30:11,64.8,54.5
125,2018/01/11 00:00:11,65.5,54
126,2018/01/11 00:30:11,66,53.5
127,2018/01/11 01:00:11,66.6,53.4
128,2018/01/11 01:30:11,66.9,53
129,2018/01/11 02:00:11,67.3,52.5
130,2018/01/11 02:30:11,67.6,52.9
131,2018/01/11 03:00:11,68,52.4
132,2018/01/11 03:30:11,68,52.4
133,2018/01/11 04:00:11,68.4,52
134,2018/01/11 04:30:11,68.5,51.9
135,2018/01/11 05:00:11,68.9,51.9
136,2018/01/11 05:30:11,68.9,51.9
137,2018/01/11 06:00:11,69.3,51.6
138,2018/01/11 06:30:11,69.3,51.6
139,2018/01/11 07:00:11,64.9,57.9
140,2018/01/11 07:30:11,63.9,61.8
141,2018/01/11 08:00:11,64.6,63.2
142,2018/01/11 08:30:11,69.3,58.9
143,2018/01/11 09:00:11,70.5,57.4
144,2018/01/11 09:30:11,71.6,56
145,2018/01/11 10:00:11,72.1,55.3
146,2018/01/11 10:30:11,73.8,54.9
147,2018/01/11 11:00:11,74.5,54
148,2018/01/11 11:30:11,75,53.9
149,2018/01/11 12:00:11,75,53.4
150,2018/01/11 12:30:11,75.6,53.4
151,2018/01/11 13:00:11,77,53.4
152,2018/01/11 13:30:11,78.1,53
153,2018/01/11 14:00:11,78.8,52.5
154,2018/01/11 14:30:11,75.9,51.1
155,2018/01/11 15:00:11,73,51.9
156,2018/01/11 15:30:11,77.4,52.5
157,2018/01/11 16:00:11,78.4,50.6
158,2018/01/11 16:30:11,79.5,50.9
159,2018/01/11 17:00:11,78.6,50.5
160,2018/01/11 17:30:11,78.6,50.5
161,2018/01/11 18:00:11,78.3,51.1
162,2018/01/11 18:30:11,78.3,51.4
163,2018/01/11 19:00:11,78.3,51.4
164,2018/01/11 19:30:11,78.6,51.1
165,2018/01/11 20:00:11,78.6,51.1
166,2018/01/11 20:30:11,78.6,51.1
167,2018/01/11 21:00:11,78.8,51.1
168,2018/01/11 21:30:11,78.8,50.9
169,2018/01/11 22:00:11,78.8,50.9
170,2018/01/11 22:30:11,78.8,50.9
171,2018/01/11 23:00:11,78.8,50.9
172,2018/01/11 23:30:11,78.8,50.6
173,2018/01/12 00:00:11,78.8,50.6
174,2018/01/12 00:30:11,78.8,50.6
175,2018/01/12 01:00:11,78.8,50.6
176,2018/01/12 01:30:11,78.8,50.6
177,2018/01/12 02:00:11,78.8,50.6
178,2018/01/12 02:30:11,78.8,50.6
179,2018/01/12 03:00:11,78.8,50.6
180,2018/01/12 03:30:11,78.8,50.6
181,2018/01/12 04:00:11,78.8,50.9
